VARIABLES = TIME,e11,s11
  0.10000D-01  0.10000D-03  0.69879D-01
  0.22500D-01  0.22500D-03  0.13110D+00
  0.38125D-01  0.38125D-03  0.19066D+00
  0.57656D-01  0.57656D-03  0.25118D+00
  0.82070D-01  0.82070D-03  0.31409D+00
  0.11259D+00  0.11259D-02  0.38022D+00
  0.15073D+00  0.15073D-02  0.45010D+00
  0.19842D+00  0.19842D-02  0.52391D+00
  0.25802D+00  0.25802D-02  0.60143D+00
  0.33253D+00  0.33253D-02  0.68190D+00
  0.42566D+00  0.42566D-02  0.76374D+00
  0.52566D+00  0.52566D-02  0.83400D+00
  0.62566D+00  0.62566D-02  0.88967D+00
  0.72566D+00  0.72566D-02  0.93304D+00
  0.82566D+00  0.82566D-02  0.96555D+00
  0.92566D+00  0.92566D-02  0.98813D+00
  0.10257D+01  0.10257D-01  0.10014D+01
  0.11257D+01  0.11257D-01  0.10109D+01
  0.12257D+01  0.12257D-01  0.10196D+01
  0.13257D+01  0.13257D-01  0.10277D+01
  0.14257D+01  0.14257D-01  0.10353D+01
  0.15257D+01  0.15257D-01  0.10424D+01
  0.16257D+01  0.16257D-01  0.10490D+01
  0.17257D+01  0.17257D-01  0.10554D+01
  0.18257D+01  0.18257D-01  0.10614D+01
  0.19257D+01  0.19257D-01  0.10671D+01
  0.20257D+01  0.20257D-01  0.10725D+01
  0.21257D+01  0.21257D-01  0.10777D+01
  0.22257D+01  0.22257D-01  0.10827D+01
  0.23257D+01  0.23257D-01  0.10875D+01
  0.24257D+01  0.24257D-01  0.10921D+01
  0.25257D+01  0.25257D-01  0.10965D+01
  0.26257D+01  0.26257D-01  0.11008D+01
  0.27257D+01  0.27257D-01  0.11050D+01
  0.28257D+01  0.28257D-01  0.11090D+01
  0.29257D+01  0.29257D-01  0.11129D+01
  0.30257D+01  0.30257D-01  0.11166D+01
  0.31257D+01  0.31257D-01  0.11203D+01
  0.32257D+01  0.32257D-01  0.11238D+01
  0.33257D+01  0.33257D-01  0.11273D+01
  0.34257D+01  0.34257D-01  0.11306D+01
  0.35257D+01  0.35257D-01  0.11339D+01
  0.36257D+01  0.36257D-01  0.11371D+01
  0.37257D+01  0.37257D-01  0.11402D+01
  0.38257D+01  0.38257D-01  0.11432D+01
  0.39257D+01  0.39257D-01  0.11462D+01
  0.40257D+01  0.40257D-01  0.11491D+01
  0.41257D+01  0.41257D-01  0.11519D+01
  0.42257D+01  0.42257D-01  0.11547D+01
  0.43257D+01  0.43257D-01  0.11574D+01
  0.44257D+01  0.44257D-01  0.11600D+01
  0.45257D+01  0.45257D-01  0.11626D+01
  0.46257D+01  0.46257D-01  0.11652D+01
  0.47257D+01  0.47257D-01  0.11677D+01
  0.48257D+01  0.48257D-01  0.11701D+01
  0.49257D+01  0.49257D-01  0.11726D+01
  0.50257D+01  0.50257D-01  0.11749D+01
  0.51257D+01  0.51257D-01  0.11772D+01
  0.52257D+01  0.52257D-01  0.11795D+01
  0.53257D+01  0.53257D-01  0.11818D+01
  0.54257D+01  0.54257D-01  0.11840D+01
  0.55257D+01  0.55257D-01  0.11861D+01
  0.56257D+01  0.56257D-01  0.11883D+01
  0.57257D+01  0.57257D-01  0.11904D+01
  0.58257D+01  0.58257D-01  0.11924D+01
  0.59257D+01  0.59257D-01  0.11945D+01
  0.60257D+01  0.60257D-01  0.11965D+01
  0.61257D+01  0.61257D-01  0.11985D+01
  0.62257D+01  0.62257D-01  0.12004D+01
  0.63257D+01  0.63257D-01  0.12023D+01
  0.64257D+01  0.64257D-01  0.12042D+01
  0.65257D+01  0.65257D-01  0.12061D+01
  0.66257D+01  0.66257D-01  0.12079D+01
  0.67257D+01  0.67257D-01  0.12097D+01
  0.68257D+01  0.68257D-01  0.12115D+01
  0.69257D+01  0.69257D-01  0.12133D+01
  0.70257D+01  0.70257D-01  0.12150D+01
  0.71257D+01  0.71257D-01  0.12167D+01
  0.72257D+01  0.72257D-01  0.12184D+01
  0.73257D+01  0.73257D-01  0.12201D+01
  0.74257D+01  0.74257D-01  0.12218D+01
  0.75257D+01  0.75257D-01  0.12234D+01
  0.76257D+01  0.76257D-01  0.12250D+01
  0.77257D+01  0.77257D-01  0.12266D+01
  0.78257D+01  0.78257D-01  0.12282D+01
  0.79257D+01  0.79257D-01  0.12298D+01
  0.80257D+01  0.80257D-01  0.12313D+01
  0.81257D+01  0.81257D-01  0.12329D+01
  0.82257D+01  0.82257D-01  0.12344D+01
  0.83257D+01  0.83257D-01  0.12359D+01
  0.84257D+01  0.84257D-01  0.12373D+01
  0.85257D+01  0.85257D-01  0.12388D+01
  0.86257D+01  0.86257D-01  0.12403D+01
  0.87257D+01  0.87257D-01  0.12417D+01
  0.88257D+01  0.88257D-01  0.12431D+01
  0.89257D+01  0.89257D-01  0.12445D+01
  0.90257D+01  0.90257D-01  0.12459D+01
  0.91257D+01  0.91257D-01  0.12473D+01
  0.92257D+01  0.92257D-01  0.12486D+01
  0.93257D+01  0.93257D-01  0.12500D+01
