 VARIABLES = X,Y,Z,DU1,DU2,DU3,U1,U2,U3,S11,S22,S33,S12,S13,S23,Vf
 ZONE, T="0.1000D+00" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.9998678549E+00   0.6837647036E-04   0.0000000000E+00  -0.2592702274E-04   0.1664380406E-04   0.0000000000E+00  -0.1062180722E-03   0.5173266631E-04   0.9112828306E+00   0.1375390534E+00   0.1252312458E+00  -0.4311287183E-01   0.2264719417E-01   0.8359644737E-02   0.7233091867E-07
   0.0000000000E+00   0.0000000000E+00   0.9999294163E+00   0.0000000000E+00   0.0000000000E+00  -0.1723768153E-04   0.0000000000E+00   0.0000000000E+00  -0.5334598792E-04   0.8985114081E+00   0.1395524205E+00   0.1359893012E+00  -0.1771435705E-01  -0.1394314099E-01   0.4293211800E-02   0.3583348422E-07
   0.1000880793E+01   0.0000000000E+00   0.9997979099E+00   0.6579726571E-04   0.0000000000E+00  -0.3078402231E-05   0.8149961709E-03   0.0000000000E+00  -0.1990116677E-03   0.8488289887E+00  -0.3539639157E-01  -0.9114199080E-01  -0.9571065643E-02  -0.1535518829E-01   0.1014690921E-02   0.1416107433E-04
   0.1000951953E+01   0.9996694491E+00   0.9997982551E+00   0.7635269794E-04  -0.2132060791E-04  -0.2946472629E-05   0.8756005032E-03  -0.3092302627E-03  -0.1987984366E-03   0.8519703196E+00  -0.3576964920E-01  -0.9391000211E-01  -0.3375034039E-01  -0.1651020619E-01   0.9480272230E-03   0.1333878674E-04
   0.0000000000E+00   0.9998653118E+00   0.9999303366E+00   0.0000000000E+00  -0.2683010528E-04  -0.1710279187E-04   0.0000000000E+00  -0.1078580556E-03  -0.5256056429E-04   0.9112964467E+00   0.1373789719E+00   0.1253777111E+00  -0.4299205958E-01  -0.1615620904E-01   0.4139911281E-02   0.7125756647E-07
   0.2002000000E+01   0.0000000000E+00   0.3414770958E-03   0.1000000000E-03   0.0000000000E+00  -0.8757906330E-05   0.1900000000E-02   0.0000000000E+00   0.3502350021E-03   0.7604387296E+00  -0.1995634374E+00  -0.2903485230E+00  -0.1511003781E-01   0.1578316128E-01   0.2020172704E-04   0.4090567024E-04
   0.2002000000E+01   0.9994663205E+00   0.3426996775E-03   0.1000000000E-03  -0.1808831154E-04  -0.8521391433E-05   0.1900000000E-02  -0.5155911980E-03   0.3512210690E-03   0.7560458499E+00  -0.1968376284E+00  -0.2886812575E+00  -0.3723102173E-01   0.1599358808E-01   0.4653950975E-05   0.3903262254E-04
   0.2002000000E+01   0.0000000000E+00   0.9996585170E+00   0.1000000000E-03   0.0000000000E+00   0.8755150988E-05   0.1900000000E-02   0.0000000000E+00  -0.3502381197E-03   0.7605042759E+00  -0.1996155538E+00  -0.2903619548E+00  -0.1507715785E-01  -0.1574283004E-01  -0.9431529798E-04   0.4092698061E-04
   0.2002000000E+01   0.9994663328E+00   0.9996573053E+00   0.1000000000E-03  -0.1808268036E-04   0.8523626068E-05   0.1900000000E-02  -0.5155845466E-03  -0.3512182845E-03   0.7561035080E+00  -0.1968848404E+00  -0.2886917050E+00  -0.3718116116E-01  -0.1587618685E-01  -0.1093770420E-03   0.3904852339E-04
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
