       T="0.1000D+01
    1    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00
    2    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00
    3    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00
    4    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00
    5    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00
    6    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00
    7    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00    0.00000D+00
       T="0.2000D+01
    1    0.92150D+03    0.63132D-01    0.16507D+02    0.18677D+02    0.13840D+04    0.39860D+03
    2    0.92150D+03    0.53893D+00    0.49495D+02    0.16300D+02    0.27680D+04    0.53984D+04
    3    0.92150D+03    0.63132D-01    0.16507D+02    0.18677D+02    0.13840D+04    0.39860D+03
    4    0.92150D+03    0.53893D+00    0.49495D+02    0.16300D+02    0.27680D+04    0.53984D+04
    5    0.80525D+04    0.19850D+02    0.16836D+02    0.20972D+02    0.26867D+04    0.63512D+04
    6    0.80525D+04    0.19850D+02    0.16836D+02    0.20972D+02    0.26867D+04    0.63512D+04
    7    0.14720D+02    0.20815D-11    0.66240D+02    0.38763D-12    0.91606D+03    0.55858D-12
       T="0.3000D+01
    1    0.20692D+04    0.23859D+00    0.32475D+02    0.38853D+02    0.27323D+04    0.83427D+03
    2    0.20156D+04    0.23377D+01    0.97204D+02    0.29340D+02    0.54441D+04    0.10651D+05
    3    0.20692D+04    0.23859D+00    0.32475D+02    0.38853D+02    0.27323D+04    0.83427D+03
    4    0.20156D+04    0.23377D+01    0.97204D+02    0.29340D+02    0.54441D+04    0.10651D+05
    5    0.15610D+05    0.39201D+02    0.37065D+02    0.51366D+02    0.51458D+04    0.12041D+05
    6    0.15610D+05    0.39201D+02    0.37065D+02    0.51366D+02    0.51458D+04    0.12041D+05
    7    0.29152D+02    0.00000D+00    0.13130D+03    0.60994D-12    0.18304D+04    0.42319D-11
