 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="0.1000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.1581694625E+01   0.1280573648E+01  -0.4044129521E-07   0.2765838583E+02   0.2919966830E+01  -0.4971385629E-05   0.8986756739E+01  -0.1481602422E-13   0.1330724621E-13
  -0.2253127696E+00   0.6934414017E+00   0.0000000000E+00   0.2765838685E+02   0.2919967309E+01  -0.6104082199E-05   0.8986755368E+01  -0.1088852893E-05  -0.3537897238E-06
  -0.3946368196E-15   0.1214567243E-14   0.7291274386E+00   0.2765838536E+02   0.2919968799E+01  -0.6104086096E-05   0.8986757419E+01   0.1088852870E-05   0.3537897641E-06
   0.1807007367E+01   0.5871323319E+00   0.7291274790E+00   0.2765838583E+02   0.2919966830E+01  -0.4971385637E-05   0.8986756739E+01   0.3008105081E-14   0.2001227965E-13
   0.1581694625E+01   0.1280573648E+01   0.7291274790E+00   0.2765838583E+02   0.2919966829E+01  -0.4971385629E-05   0.8986756738E+01  -0.1698331928E-14  -0.1916550590E-13
  -0.2253127696E+00   0.6934414017E+00   0.7291274386E+00   0.2765838684E+02   0.2919967308E+01  -0.6104082173E-05   0.8986755367E+01   0.1088852879E-05   0.3537897279E-06
   0.3614014762E+01   0.1174264579E+01   0.1307063543E-14   0.2765838685E+02   0.2919967309E+01  -0.6104082187E-05   0.8986755369E+01   0.1088852881E-05   0.3537897267E-06
   0.3388701992E+01   0.1867705980E+01  -0.9643621411E-15   0.2765838536E+02   0.2919968798E+01  -0.6104086104E-05   0.8986757419E+01   0.1088852863E-05   0.3537897636E-06
   0.3614014762E+01   0.1174264579E+01   0.7291274386E+00   0.2765838685E+02   0.2919967308E+01  -0.6104082176E-05   0.8986755368E+01  -0.1088852870E-05  -0.3537897284E-06
   0.3388701992E+01   0.1867705980E+01   0.7291274386E+00   0.2765838535E+02   0.2919968798E+01  -0.6104086107E-05   0.8986757418E+01  -0.1088852879E-05  -0.3537897641E-06
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="0.4000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.2427593245E+02   0.6302421710E+01  -0.6104553174E-05   0.1236920977E+02  -0.1020170828E-05  -0.5198030101E-06
   0.1692912376E+01   0.8625819894E+00  -0.4044400821E-07   0.2427593307E+02   0.6302419590E+01  -0.4971777058E-05   0.1236920950E+02   0.1954465677E-13  -0.9607856437E-14
   0.1361895486E+01   0.1512239214E+01  -0.4044400990E-07   0.2427593307E+02   0.6302419590E+01  -0.4971777058E-05   0.1236920950E+02  -0.1585319862E-13   0.9514545078E-14
  -0.3310169302E+00   0.6496573047E+00   0.0000000000E+00   0.2427593450E+02   0.6302419658E+01  -0.6104549282E-05   0.1236920828E+02  -0.1020170878E-05  -0.5198029955E-06
  -0.5797783623E-15   0.1137879105E-14   0.7291274386E+00   0.2427593245E+02   0.6302421709E+01  -0.6104553186E-05   0.1236920977E+02   0.1020170842E-05   0.5198030277E-06
   0.1692912376E+01   0.8625819894E+00   0.7291274790E+00   0.2427593307E+02   0.6302419590E+01  -0.4971777062E-05   0.1236920950E+02  -0.3395145562E-14   0.2179423937E-13
