 VARIABLES = X,Y,DU1,DU2,U1,U2,S11,S22,S33,S12
 ZONE, T="0.1000D+01" F=FEPOINT, I=    9 J=    4
   0.1000150000E+01   0.1999805420E+01   0.5000000000E-04  -0.6993884908E-04   0.1000000000E-03  -0.1246410997E-03   0.1134830335E+00   0.1204072168E-07   0.2558974891-314  -0.1379139238E-16
   0.0000000000E+00   0.9999027100E+00   0.0000000000E+00  -0.3496942454E-04   0.0000000000E+00  -0.6232054985E-04   0.1134830335E+00   0.1204072167E-07   0.2558974900-314  -0.4307206103E-17
   0.1000150000E+01   0.9999027100E+00   0.5000000000E-04  -0.3496942454E-04   0.1000000000E-03  -0.6232054985E-04   0.1134830335E+00   0.1204072167E-07   0.2558974900-314  -0.4307206103E-17
           1           5           9           8
           5           2           6           9
           9           6           3           7
           8           9           7           4
 VARIABLES = X,Y,DU1,DU2,U1,U2,S11,S22,S33,S12
 ZONE, T="0.4000D+01" F=FEPOINT, I=    9 J=    4
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.1419086938E+00   0.7469239944E-08   0.3199956411-314   0.5493418938E-17
   0.2000400000E+01   0.0000000000E+00   0.1000000000E-03   0.0000000000E+00   0.3000000000E-03   0.0000000000E+00   0.1419086938E+00   0.7469240363E-08   0.3199956346-314   0.3728224483E-17
   0.2000400000E+01   0.1999732518E+01   0.1000000000E-03  -0.7290254975E-04   0.3000000000E-03  -0.1945799488E-03   0.1419086938E+00   0.7469240702E-08   0.3199956361-314  -0.3790366494E-16
   0.0000000000E+00   0.1999732518E+01   0.0000000000E+00  -0.7290254975E-04   0.0000000000E+00  -0.1945799488E-03   0.1419086938E+00   0.7469240978E-08   0.3199956445-314  -0.2773466133E-16
   0.1000200000E+01   0.0000000000E+00   0.5000000000E-04   0.0000000000E+00   0.1500000000E-03   0.0000000000E+00   0.1419086938E+00   0.7469240767E-08   0.3199956435-314  -0.4421663307E-17
   0.2000400000E+01   0.9998662588E+00   0.1000000000E-03  -0.3645127487E-04   0.3000000000E-03  -0.9728997439E-04   0.1419086938E+00   0.7469240724E-08   0.3199956455-314  -0.8776056988E-17
   0.1000200000E+01   0.1999732518E+01   0.5000000000E-04  -0.7290254975E-04   0.1500000000E-03  -0.1945799488E-03   0.1419086938E+00   0.7469240767E-08   0.3199956435-314   0.1157961762E-17
   0.0000000000E+00   0.9998662588E+00   0.0000000000E+00  -0.3645127487E-04   0.0000000000E+00  -0.9728997439E-04   0.1419086938E+00   0.7469240115E-08   0.3199956430-314  -0.1249580703E-16
   0.1000200000E+01   0.9998662588E+00   0.5000000000E-04  -0.3645127487E-04   0.1500000000E-03  -0.9728997439E-04   0.1419086938E+00   0.7469240115E-08   0.3199956430-314  -0.1249580703E-16
           1           5           9           8
           5           2           6           9
           9           6           3           7
           8           9           7           4
 VARIABLES = X,Y,DU1,DU2,U1,U2,S11,S22,S33,S12
 ZONE, T="0.5000D+01" F=FEPOINT, I=    9 J=    4
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.1678224521E+00   0.5038992783E-08   0.3784296210-314  -0.1070225377E-16
   0.2000500000E+01   0.0000000000E+00   0.1000000000E-03   0.0000000000E+00   0.4000000000E-03   0.0000000000E+00   0.1678224521E+00   0.5038993237E-08   0.3784296195-314  -0.4801749427E-16
   0.2000500000E+01   0.1999657375E+01   0.1000000000E-03  -0.7514293856E-04   0.4000000000E-03  -0.2674824985E-03   0.1678224521E+00   0.5038992842E-08   0.3784296145-314   0.1252879871E-16
   0.0000000000E+00   0.1999657375E+01   0.0000000000E+00  -0.7514293856E-04   0.0000000000E+00  -0.2674824985E-03   0.1678224521E+00   0.5038992389E-08   0.3784296190-314  -0.1047210048E-17
   0.1000250000E+01   0.0000000000E+00   0.5000000000E-04   0.0000000000E+00   0.2000000000E-03   0.0000000000E+00   0.1678224521E+00   0.5038992690E-08   0.3784296175-314   0.1391658978E-17
   0.2000500000E+01   0.9998286873E+00   0.1000000000E-03  -0.3757146928E-04   0.4000000000E-03  -0.1337412493E-03   0.1678224521E+00   0.5038993248E-08   0.3784296165-314  -0.2263513621E-17
   0.1000250000E+01   0.1999657375E+01   0.5000000000E-04  -0.7514293856E-04   0.2000000000E-03  -0.2674824985E-03   0.1678224521E+00   0.5038993282E-08   0.3784296175-314  -0.9062314636E-17
   0.0000000000E+00   0.9998286873E+00   0.0000000000E+00  -0.3757146928E-04   0.0000000000E+00  -0.1337412493E-03   0.1678224521E+00   0.5038992585E-08   0.3784296175-314  -0.1271748723E-16
   0.1000250000E+01   0.9998286873E+00   0.5000000000E-04  -0.3757146928E-04   0.2000000000E-03  -0.1337412493E-03   0.1678224521E+00   0.5038992585E-08   0.3784296175-314  -0.1271748723E-16
           1           5           9           8
           5           2           6           9
           9           6           3           7
           8           9           7           4
 VARIABLES = X,Y,DU1,DU2,U1,U2,S11,S22,S33,S12
 ZONE, T="0.6000D+01" F=FEPOINT, I=    9 J=    4
